Date;Time;User;SensorID;SensorName;delta t;Unit;Value;Unit;Mode;Phase;Unit;Amplitude;Unit;Temp;Unit;patm;Unit;Salinity;Unit;Error;Cal0;Unit;T0;Unit;O2-2nd;Unit;Cal2nd;Unit;T2nd;Unit;CalPressure;Unit;f1;dPhi1;dkSv1;dPhi2;dkSv2;m;Cal Mode;SignalLEDCurrent;ReferenceLEDCurrent;ReferenceAmplitude;DeviceSerial;FwVersion;SensorType;BatchID;Calibration Date;Sensor lot;PreSens calibrated Sensor;Battery Voltage;Unit
02-Dec-2013;15:27:52;DABR          ;537189293 ;DP_19NOV;1.92;min;38.852;%a.s.;humid;38.687;deg;98973;uV;20.000;°C;989.400;mbar;0.0;pmil;0;60.360;deg;20.000;°C;100.000;%a.s.;28.100;deg;20.000;°C;960;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;50.000;38055;SAAB0004000007;     p1.2.0.6 ;PSt3;131119-2;131202;100;1;4.960;V;
02-Dec-2013;15:27:57;DABR          ;537189293 ;DP_19NOV;2.00;min;37.378;%a.s.;humid;39.143;deg;100266;uV;20.000;°C;989.410;mbar;0.0;pmil;0;60.360;deg;20.000;°C;100.000;%a.s.;28.100;deg;20.000;°C;960;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;50.000;38059;SAAB0004000007;     p1.2.0.6 ;PSt3;131119-2;131202;100;1;4.959;V;
02-Dec-2013;15:28:02;DABR          ;537189293 ;DP_19NOV;2.08;min;36.009;%a.s.;humid;39.581;deg;101538;uV;20.000;°C;989.430;mbar;0.0;pmil;0;60.360;deg;20.000;°C;100.000;%a.s.;28.100;deg;20.000;°C;960;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;50.000;38054;SAAB0004000007;     p1.2.0.6 ;PSt3;131119-2;131202;100;1;4.959;V;
02-Dec-2013;15:28:07;DABR          ;537189293 ;DP_19NOV;2.17;min;34.734;%a.s.;humid;40.003;deg;102789;uV;20.000;°C;989.400;mbar;0.0;pmil;0;60.360;deg;20.000;°C;100.000;%a.s.;28.100;deg;20.000;°C;960;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;50.000;38044;SAAB0004000007;     p1.2.0.6 ;PSt3;131119-2;131202;100;1;4.959;V;
02-Dec-2013;15:28:12;DABR          ;537189293 ;DP_19NOV;2.25;min;33.439;%a.s.;humid;40.445;deg;103982;uV;20.000;°C;989.400;mbar;0.0;pmil;0;60.360;deg;20.000;°C;100.000;%a.s.;28.100;deg;20.000;°C;960;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;50.000;38042;SAAB0004000007;     p1.2.0.6 ;PSt3;131119-2;131202;100;1;4.958;V;
02-Dec-2013;15:28:17;DABR          ;537189293 ;DP_19NOV;2.33;min;32.234;%a.s.;humid;40.870;deg;105201;uV;20.000;°C;989.400;mbar;0.0;pmil;0;60.360;deg;20.000;°C;100.000;%a.s.;28.100;deg;20.000;°C;960;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;50.000;38034;SAAB0004000007;     p1.2.0.6 ;PSt3;131119-2;131202;100;1;4.961;V;
02-Dec-2013;15:28:22;DABR          ;537189293 ;DP_19NOV;2.42;min;31.150;%a.s.;humid;41.263;deg;106294;uV;20.000;°C;989.440;mbar;0.0;pmil;0;60.360;deg;20.000;°C;100.000;%a.s.;28.100;deg;20.000;°C;960;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;50.000;38032;SAAB0004000007;     p1.2.0.6 ;PSt3;131119-2;131202;100;1;4.957;V;
02-Dec-2013;15:28:27;DABR          ;537189293 ;DP_19NOV;2.50;min;30.078;%a.s.;humid;41.664;deg;107391;uV;20.000;°C;989.390;mbar;0.0;pmil;0;60.360;deg;20.000;°C;100.000;%a.s.;28.100;deg;20.000;°C;960;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;50.000;38032;SAAB0004000007;     p1.2.0.6 ;PSt3;131119-2;131202;100;1;4.960;V;
02-Dec-2013;15:28:32;DABR          ;537189293 ;DP_19NOV;2.58;min;29.061;%a.s.;humid;42.054;deg;108466;uV;20.000;°C;989.430;mbar;0.0;pmil;0;60.360;deg;20.000;°C;100.000;%a.s.;28.100;deg;20.000;°C;960;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;50.000;38023;SAAB0004000007;     p1.2.0.6 ;PSt3;131119-2;131202;100;1;4.957;V;
02-Dec-2013;15:28:37;DABR          ;537189293 ;DP_19NOV;2.67;min;28.088;%a.s.;humid;42.438;deg;109509;uV;20.000;°C;989.380;mbar;0.0;pmil;0;60.360;deg;20.000;°C;100.000;%a.s.;28.100;deg;20.000;°C;960;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;50.000;38022;SAAB0004000007;     p1.2.0.6 ;PSt3;131119-2;131202;100;1;4.955;V;
02-Dec-2013;15:28:42;DABR          ;537189293 ;DP_19NOV;2.75;min;27.168;%a.s.;humid;42.810;deg;110527;uV;20.000;°C;989.410;mbar;0.0;pmil;0;60.360;deg;20.000;°C;100.000;%a.s.;28.100;deg;20.000;°C;960;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;50.000;38018;SAAB0004000007;     p1.2.0.6 ;PSt3;131119-2;131202;100;1;4.956;V;
02-Dec-2013;15:28:47;DABR          ;537189293 ;DP_19NOV;2.83;min;26.283;%a.s.;humid;43.177;deg;111505;uV;20.000;°C;989.430;mbar;0.0;pmil;128;60.360;deg;20.000;°C;100.000;%a.s.;28.100;deg;20.000;°C;960;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;50.000;38013;SAAB0004000007;     p1.2.0.6 ;PSt3;131119-2;131202;100;1;4.956;V;
02-Dec-2013;15:28:52;DABR          ;537189293 ;DP_19NOV;2.92;min;25.450;%a.s.;humid;43.531;deg;112421;uV;20.000;°C;989.400;mbar;0.0;pmil;128;60.360;deg;20.000;°C;100.000;%a.s.;28.100;deg;20.000;°C;960;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;50.000;38011;SAAB0004000007;     p1.2.0.6 ;PSt3;131119-2;131202;100;1;4.955;V;
02-Dec-2013;15:28:57;DABR          ;537189293 ;DP_19NOV;3.00;min;24.652;%a.s.;humid;43.878;deg;113314;uV;20.000;°C;989.400;mbar;0.0;pmil;128;60.360;deg;20.000;°C;100.000;%a.s.;28.100;deg;20.000;°C;960;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;50.000;38006;SAAB0004000007;     p1.2.0.6 ;PSt3;131119-2;131202;100;1;4.954;V;
02-Dec-2013;15:29:02;DABR          ;537189293 ;DP_19NOV;3.08;min;23.874;%a.s.;humid;44.224;deg;114134;uV;20.000;°C;989.410;mbar;0.0;pmil;128;60.360;deg;20.000;°C;100.000;%a.s.;28.100;deg;20.000;°C;960;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;50.000;38006;SAAB0004000007;     p1.2.0.6 ;PSt3;131119-2;131202;100;1;4.955;V;
02-Dec-2013;15:29:07;DABR          ;537189293 ;DP_19NOV;3.17;min;23.145;%a.s.;humid;44.555;deg;114855;uV;20.000;°C;989.410;mbar;0.0;pmil;128;60.360;deg;20.000;°C;100.000;%a.s.;28.100;deg;20.000;°C;960;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;50.000;37996;SAAB0004000007;     p1.2.0.6 ;PSt3;131119-2;131202;100;1;4.953;V;
02-Dec-2013;15:29:12;DABR          ;537189293 ;DP_19NOV;3.25;min;22.446;%a.s.;humid;44.879;deg;115506;uV;20.000;°C;989.440;mbar;0.0;pmil;128;60.360;deg;20.000;°C;100.000;%a.s.;28.100;deg;20.000;°C;960;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;50.000;37996;SAAB0004000007;     p1.2.0.6 ;PSt3;131119-2;131202;100;1;4.954;V;
02-Dec-2013;15:29:17;DABR          ;537189293 ;DP_19NOV;3.33;min;21.758;%a.s.;humid;45.205;deg;116088;uV;20.000;°C;989.420;mbar;0.0;pmil;128;60.360;deg;20.000;°C;100.000;%a.s.;28.100;deg;20.000;°C;960;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;50.000;37992;SAAB0004000007;     p1.2.0.6 ;PSt3;131119-2;131202;100;1;4.953;V;
02-Dec-2013;15:29:22;DABR          ;537189293 ;DP_19NOV;3.42;min;21.116;%a.s.;humid;45.515;deg;116636;uV;20.000;°C;989.400;mbar;0.0;pmil;128;60.360;deg;20.000;°C;100.000;%a.s.;28.100;deg;20.000;°C;960;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;50.000;37993;SAAB0004000007;     p1.2.0.6 ;PSt3;131119-2;131202;100;1;4.954;V;
02-Dec-2013;15:29:27;DABR          ;537189293 ;DP_19NOV;3.50;min;20.499;%a.s.;humid;45.819;deg;117144;uV;20.000;°C;989.370;mbar;0.0;pmil;128;60.360;deg;20.000;°C;100.000;%a.s.;28.100;deg;20.000;°C;960;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;50.000;37984;SAAB0004000007;     p1.2.0.6 ;PSt3;131119-2;131202;100;1;4.951;V;
02-Dec-2013;15:29:32;DABR          ;537189293 ;DP_19NOV;3.58;min;19.903;%a.s.;humid;46.117;deg;117621;uV;20.000;°C;989.410;mbar;0.0;pmil;128;60.360;deg;20.000;°C;100.000;%a.s.;28.100;deg;20.000;°C;960;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;50.000;37978;SAAB0004000007;     p1.2.0.6 ;PSt3;131119-2;131202;100;1;4.954;V;
02-Dec-2013;15:29:37;DABR          ;537189293 ;DP_19NOV;3.67;min;19.342;%a.s.;humid;46.403;deg;118064;uV;20.000;°C;989.430;mbar;0.0;pmil;128;60.360;deg;20.000;°C;100.000;%a.s.;28.100;deg;20.000;°C;960;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;50.000;37980;SAAB0004000007;     p1.2.0.6 ;PSt3;131119-2;131202;100;1;4.951;V;
02-Dec-2013;15:29:42;DABR          ;537189293 ;DP_19NOV;3.75;min;18.818;%a.s.;humid;46.675;deg;118466;uV;20.000;°C;989.420;mbar;0.0;pmil;128;60.360;deg;20.000;°C;100.000;%a.s.;28.100;deg;20.000;°C;960;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;50.000;37973;SAAB0004000007;     p1.2.0.6 ;PSt3;131119-2;131202;100;1;4.952;V;
02-Dec-2013;15:29:47;DABR          ;537189293 ;DP_19NOV;3.83;min;18.294;%a.s.;humid;46.951;deg;118847;uV;20.000;°C;989.380;mbar;0.0;pmil;128;60.360;deg;20.000;°C;100.000;%a.s.;28.100;deg;20.000;°C;960;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;50.000;37969;SAAB0004000007;     p1.2.0.6 ;PSt3;131119-2;131202;100;1;4.952;V;
02-Dec-2013;15:29:52;DABR          ;537189293 ;DP_19NOV;3.92;min;17.813;%a.s.;humid;47.208;deg;119218;uV;20.000;°C;989.450;mbar;0.0;pmil;128;60.360;deg;20.000;°C;100.000;%a.s.;28.100;deg;20.000;°C;960;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;50.000;37964;SAAB0004000007;     p1.2.0.6 ;PSt3;131119-2;131202;100;1;4.951;V;
02-Dec-2013;15:29:57;DABR          ;537189293 ;DP_19NOV;4.00;min;17.330;%a.s.;humid;47.471;deg;119557;uV;20.000;°C;989.400;mbar;0.0;pmil;128;60.360;deg;20.000;°C;100.000;%a.s.;28.100;deg;20.000;°C;960;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;50.000;37960;SAAB0004000007;     p1.2.0.6 ;PSt3;131119-2;131202;100;1;4.951;V;
02-Dec-2013;15:30:02;DABR          ;537189293 ;DP_19NOV;4.08;min;16.885;%a.s.;humid;47.716;deg;119883;uV;20.000;°C;989.380;mbar;0.0;pmil;128;60.360;deg;20.000;°C;100.000;%a.s.;28.100;deg;20.000;°C;960;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;50.000;37954;SAAB0004000007;     p1.2.0.6 ;PSt3;131119-2;131202;100;1;4.951;V;
02-Dec-2013;15:30:07;DABR          ;537189293 ;DP_19NOV;4.17;min;16.437;%a.s.;humid;47.966;deg;120171;uV;20.000;°C;989.420;mbar;0.0;pmil;128;60.360;deg;20.000;°C;100.000;%a.s.;28.100;deg;20.000;°C;960;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;50.000;37956;SAAB0004000007;     p1.2.0.6 ;PSt3;131119-2;131202;100;1;4.950;V;
02-Dec-2013;15:30:12;DABR          ;537189293 ;DP_19NOV;4.25;min;16.016;%a.s.;humid;48.205;deg;120468;uV;20.000;°C;989.400;mbar;0.0;pmil;128;60.360;deg;20.000;°C;100.000;%a.s.;28.100;deg;20.000;°C;960;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;50.000;37949;SAAB0004000007;     p1.2.0.6 ;PSt3;131119-2;131202;100;1;4.950;V;
02-Dec-2013;15:30:17;DABR          ;537189293 ;DP_19NOV;4.33;min;15.606;%a.s.;humid;48.440;deg;120740;uV;20.000;°C;989.440;mbar;0.0;pmil;128;60.360;deg;20.000;°C;100.000;%a.s.;28.100;deg;20.000;°C;960;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;50.000;37941;SAAB0004000007;     p1.2.0.6 ;PSt3;131119-2;131202;100;1;4.950;V;
02-Dec-2013;15:30:22;DABR          ;537189293 ;DP_19NOV;4.42;min;15.215;%a.s.;humid;48.668;deg;120995;uV;20.000;°C;989.400;mbar;0.0;pmil;128;60.360;deg;20.000;°C;100.000;%a.s.;28.100;deg;20.000;°C;960;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;50.000;37938;SAAB0004000007;     p1.2.0.6 ;PSt3;131119-2;131202;100;1;4.950;V;
02-Dec-2013;15:30:27;DABR          ;537189293 ;DP_19NOV;4.50;min;14.853;%a.s.;humid;48.881;deg;121239;uV;20.000;°C;989.400;mbar;0.0;pmil;128;60.360;deg;20.000;°C;100.000;%a.s.;28.100;deg;20.000;°C;960;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;50.000;37938;SAAB0004000007;     p1.2.0.6 ;PSt3;131119-2;131202;100;1;4.949;V;
02-Dec-2013;15:30:32;DABR          ;537189293 ;DP_19NOV;4.58;min;14.077;%a.s.;humid;49.346;deg;121748;uV;20.000;°C;989.430;mbar;0.0;pmil;128;60.360;deg;20.000;°C;100.000;%a.s.;28.100;deg;20.000;°C;960;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;50.000;37931;SAAB0004000007;     p1.2.0.6 ;PSt3;131119-2;131202;100;1;4.949;V;
02-Dec-2013;15:30:37;DABR          ;537189293 ;DP_19NOV;4.67;min;13.553;%a.s.;humid;49.667;deg;122092;uV;20.000;°C;989.450;mbar;0.0;pmil;128;60.360;deg;20.000;°C;100.000;%a.s.;28.100;deg;20.000;°C;960;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;50.000;37929;SAAB0004000007;     p1.2.0.6 ;PSt3;131119-2;131202;100;1;4.948;V;
02-Dec-2013;15:30:42;DABR          ;537189293 ;DP_19NOV;4.75;min;13.241;%a.s.;humid;49.861;deg;122274;uV;20.000;°C;989.420;mbar;0.0;pmil;128;60.360;deg;20.000;°C;100.000;%a.s.;28.100;deg;20.000;°C;960;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;50.000;37926;SAAB0004000007;     p1.2.0.6 ;PSt3;131119-2;131202;100;1;4.949;V;
02-Dec-2013;15:30:47;DABR          ;537189293 ;DP_19NOV;4.83;min;12.949;%a.s.;humid;50.045;deg;122451;uV;20.000;°C;989.330;mbar;0.0;pmil;128;60.360;deg;20.000;°C;100.000;%a.s.;28.100;deg;20.000;°C;960;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;50.000;37923;SAAB0004000007;     p1.2.0.6 ;PSt3;131119-2;131202;100;1;4.947;V;
