Measurement Name : Copepods_01_20170124       Generated On : 11/01/2018, 21:50:59
Start Date/Time: 25/01/2017, 06:11:59
End Date/Time: 29/01/2017, 04:41:49
User Comment : 0
Meas. Created By :admin
SDR Serial No. : S-547
Report : @m01:IDENTIFICATION

Serial number     : SEBX0007000547      

MUX channel       : ON - 01


PARAMETERS

Sig LED current   : 040

Ref LED current   : 090

Frequency         : 060

Sending interval  : 0000

Pulse lenght      : 06

Red REF comp.     : ON

Temperature comp. : ON


FIRMWARE

ver.4.039.A3.ST   : 04/30/07, 09:14:36

@m01:RDY
Parameter : Oxygen [[%] Air Saturation]
Calibration details for Oxygen
Batch No.:  PSt5-1611-01_10°C
O2_cal0 [°] : 56.13
O2_cal2nd [°] : 50.14
O2_T0 [°C] : 10.1
O2_T2nd [°C] : 10.1
O2_patm [mbar] : 980
O2_2nd [% a.s.] : 100
 
 
Date/Time;             Time/Min.;             A1;             A2;             A3;             A4;             A5;             A6;             B1;             B2;             B3;             B4;             B5;             B6;             C1;             C2;             C3;             C4;             C5;             C6;             D1;             D2;             D3;             D4;             D5;             D6;;             Tm [°C];   p [mbar];   Salinity [g/1000g];    T_internal [°C];    Error;
25.01.1706:40:25;       28.43;          116.67;         114.43;         108.19;         111.4;          109.79;         105.4;          114.64;         109.39;         112.01;         108.99;         106.39;         105.99;         122.4;          113.83;         110.8;          112.21;         107.19;         117.69;         118.3;          108.39;         111.4;          107.99;         112.81;         59.49;          ;               5;              980;            34;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  10.63;
25.01.1706:41:26;       29.45;          116.46;         114.43;         107.79;         111.2;          109.79;         105;            114.64;         109.59;         111.6;          108.99;         106.39;         105.79;         122.2;          113.62;         110.4;          112.01;         107.19;         117.48;         118.3;          108.59;         111.2;          107.99;         112.81;         58.4;           ;               5;              980;            34;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  10.6;
25.01.1706:42:26;       30.45;          116.26;         114.43;         107.39;         111.2;          109.99;         105;            114.64;         109.39;         111.6;          108.79;         106.19;         105.79;         122.2;          113.42;         110.6;          111.8;          106.99;         117.28;         118.5;          108.19;         111;            107.59;         112.61;         57.68;          ;               5;              980;            34;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  10.58;
25.01.1706:43:27;       31.47;          116.67;         113.83;         107.39;         111;            109.59;         104.8;          114.64;         109.59;         111.2;          108.79;         106.19;         105.4;          121.99;         113.22;         110.4;          111.8;          106.59;         117.08;         118.1;          108.39;         111;            107.39;         112.41;         56.78;          ;               5;              980;            34;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  10.52;
25.01.1706:44:28;       32.48;          116.26;         114.23;         107.59;         111.2;          109.39;         105;            114.23;         109.39;         111.2;          108.59;         106.19;         105.2;          121.37;         113.42;         110.4;          111.6;          106.79;         117.08;         118.1;          108.39;         110.8;          107.39;         112.21;         56.42;          ;               5;              980;            34;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  10.52;
25.01.1706:45:29;       33.5;           116.46;         114.23;         107.19;         111;            109.59;         104.8;          114.23;         109.39;         111.2;          108.59;         105.79;         105.4;          121.79;         113.62;         110.6;          111.6;          106.59;         116.87;         118.1;          108.39;         111.2;          107.39;         112.41;         56.06;          ;               5;              980;            34;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  10.49;
25.01.1706:46:30;       34.52;          116.06;         114.03;         107.39;         110.8;          109.39;         104.6;          113.83;         109.39;         111.2;          108.59;         105.99;         105.2;          121.58;         113.02;         110.4;          111.4;          106.39;         116.87;         117.89;         108.19;         110.8;          106.99;         112.21;         55.34;          ;               5;              980;            34;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  10.45;
25.01.1706:47:31;       35.53;          116.06;         114.03;         107.19;         110.8;          109.39;         104.8;          113.62;         109.39;         111.2;          108.59;         105.99;         105.2;          121.37;         113.22;         110.4;          111.4;          106.19;         116.67;         118.1;          107.99;         110.8;          106.99;         112.21;         54.63;          ;               5;              980;            34;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  10.45;
25.01.1706:48:32;       36.55;          116.06;         113.83;         106.99;         110.6;          109.19;         104.6;          113.42;         109.19;         111;            108.39;         105.99;         105;            121.17;         112.61;         110.19;         111.2;          105.99;         116.67;         117.89;         107.19;         110.6;          106.79;         112.01;         53.55;          ;               5;              980;            34;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  10.43;
25.01.1706:49:32;       37.55;          116.26;         114.03;         107.19;         110.8;          109.39;         104.6;          114.03;         109.19;         111;            108.59;         105.79;         105.2;          121.79;         113.02;         110.4;          111.2;          106.19;         116.67;         118.3;          107.59;         111;            106.99;         112.21;         53.02;          ;               5;              980;            34;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  10.42;
25.01.1706:50:33;       38.57;          116.26;         114.03;         106.99;         110.8;          108.99;         104.4;          114.03;         109.19;         110.8;          108.39;         105.99;         104.8;          121.17;         113.02;         110.4;          111.4;          105.79;         116.46;         118.1;          107.39;         111;            106.99;         112.01;         52.84;          ;               5;              980;            34;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  10.4;
25.01.1706:51:34;       39.58;          116.06;         113.62;         107.19;         110.6;          109.19;         104.4;          113.62;         109.19;         111;            108.59;         105.99;         104.8;          121.58;         112.81;         110.6;          111.2;          105.99;         116.46;         118.1;          107.39;         111;            106.59;         112.01;         51.77;          ;               5;              980;            34;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  10.38;
25.01.1706:52:35;       40.6;           116.46;         114.03;         106.79;         110.6;          108.99;         104.4;          113.83;         109.19;         110.6;          108.19;         105.79;         104.8;          121.17;         113.02;         110.4;          111.2;          105.79;         116.46;         117.89;         107.39;         110.6;          106.59;         112.01;         51.24;          ;               5;              980;            34;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  10.4;
25.01.1706:53:36;       41.62;          116.26;         113.83;         106.79;         110.6;          108.99;         104.4;          113.62;         109.19;         110.4;          108.39;         105.79;         104.6;          120.96;         112.81;         110.4;          111;            105.79;         116.06;         117.69;         107.39;         110.8;          106.39;         111.8;          50.7;           ;               5;              980;            34;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  10.38;
25.01.1706:54:37;       42.63;          115.85;         113.42;         106.59;         110.19;         108.79;         104.2;          113.22;         108.79;         110.4;          107.99;         105.79;         104.6;          120.76;         112.61;         110.19;         110.8;          105.59;         116.06;         117.69;         106.99;         110.4;          106.59;         111.8;          49.81;          ;               5;              980;            34;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  10.38;
25.01.1706:55:37;       43.63;          116.06;         113.83;         106.79;         110.4;          108.99;         104.4;          113.62;         108.99;         110.6;          108.39;         105.79;         104.6;          120.55;         112.81;         110.4;          111.2;          105.79;         116.06;         117.69;         107.39;         110.6;          106.39;         111.8;          49.28;          ;               5;              980;            34;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  10.35;
25.01.1706:56:38;       44.65;          116.06;         113.02;         106.59;         109.99;         108.79;         104;            113.42;         108.99;         110.19;         107.99;         105.59;         104.4;          120.76;         112.81;         110.19;         110.6;          105.4;          115.85;         117.48;         107.19;         110.4;          106.19;         111.6;          48.75;          ;               5;              980;            34;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  10.35;
25.01.1706:57:39;       45.67;          116.06;         113.83;         106.99;         110.6;          109.19;         104.2;          114.03;         109.39;         110.4;          108.39;         105.99;         104.8;          120.96;         112.81;         110.6;          111;            105.59;         116.06;         117.89;         107.39;         110.6;          106.39;         112.01;         48.04;          ;               5;              980;            34;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  10.33;
